Name,Tag,Reef,Trip,Depth,Latitude,Longitude,Death,Death_date_left,Death_date_right,Residents,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Fish deaths count,Death in Rank 1 or 2,Recruitment,Area_1,Area_2,Area_3,Bleaching,Expansion score,Number of clutches laid per month,Notes
RB103_Trip0,RB103,Lady Di,0,5.9,-5.44305,150.0982333,No,,,3,RB103_A,RB103_B,RB103_C,,,0,No,3,268.358,402.848,,No,1,,
RB104_Trip0,RB104,Lady Di,0,7.5,-5.44306667,150.0981333,No,,,3,RB104_A,RB104_B,RB104_C,,,0,No,3,1173.34,908.714,,No,1,,
RB105_Trip0,RB105,Lady Di,0,13.4,-5.44313333,150.0978167,No,,,3,RB105_A,RB105_B,RB105_C,,,0,No,3,1375.33,1624.15,,No,1,,
RB106_Trip0,RB106,Lady Di,0,14.1,-5.44311667,150.0976667,No,,,3,RB106_A,RB106_B,RB106_C,,,0,No,3,1557.38,1792.15,,No,1,,
RB107_Trip0,RB107,Lady Di,0,12.6,-5.44261667,150.0980167,No,,,3,RB107_A,RB107_B,RB107_C,,,0,No,3,856.556,1302.62,,No,1,,
RB108_Trip0,RB108,Lady Di,0,12.5,-5.44223333,150.0986833,No,,,2,RB108_A,RB108_B,,,,0,No,2,143.629,269.753,,No,1,,
RB109_Trip0,RB109,Lady Di,0,11.4,-5.44255,150.09895,No,,,2,RB109_A,RB109_B,,,,0,No,2,160.927,182.053,,No,1,,
RB110_Trip0,RB110,Lady Di,0,10.5,-5.44306667,150.0988167,No,,,2,RB110_A,RB110_B,,,,0,No,2,402.698,328.88,,No,1,,
RB131_Trip0,RB131,Lady Di,0,17.5,-5.443,150.0975,No,,,3,RB131_A,RB131_B,RB131_C,,,0,No,3,737.815,1038.66,,No,0.75,,
RB132_Trip0,RB132,Lady Di,0,16,-5.4426667,150.09895,No,,,2,RB132_A,RB132_B,,,,0,No,2,751.795,600.367,,No,1,,
RB133_Trip0,RB133,Lady Di,0,17,-5.4427333,150.0989333,No,,,2,RB133_A,RB133_B,,,,0,No,2,395.495,846.472,,No,1,,
RB306_Trip0,RB306,Limuka,0,14.7,-5.4386,150.0972833,No,,,3,RB306_A,RB306_B,RB306_C,,,0,No,3,1647.04,1642.88,,No,1,,
RB311_Trip0,RB311,Limuka,0,10,-5.4369833,150.0970833,No,,,2,RB311_A,RB311_B,,,,0,No,2,214.584,252.716,,No,1,,
RB312_Trip0,RB312,Limuka,0,12,-5.4369,150.0972667,No,,,2,RB312_A,RB312_B,,,,0,No,2,320.769,339.055,,No,1,,
RB313_Trip0,RB313,Limuka,0,10.2,-5.43676667,150.0976833,No,,,2,RB313_A,RB313_B,,,,0,No,2,1257.45,2121.42,,No,1,,
RB314_Trip0,RB314,Limuka,0,7.5,-5.43685,150.0977833,No,,,3,RB314_A,RB314_B,RB314_C,,,0,No,3,1903.02,1723,,No,1,,
RB315_Trip0,RB315,Limuka,0,7.3,-5.43696667,150.0979333,No,,,3,RB315_A,RB315_B,RB315_C,,,0,No,3,670.59,1311.46,,No,1,,
RB316_Trip0,RB316,Limuka,0,8.7,-5.43745,150.0979167,No,,,2,RB316_A,RB316_B,,,,0,No,2,779.751,1186.98,,No,1,,
RB317_Trip0,RB317,Limuka,0,5.5,-5.43746667,150.0979,No,,,2,RB317_A,RB317_B,,,,0,No,2,662.668,618.404,,No,1,,
RB318_Trip0,RB318,Limuka,0,6,-5.43778333,150.0978833,No,,,3,RB318_A,RB318_B,RB318_C,,,0,No,3,1662.7,1546.01,,No,1,,
RB319_Trip0,RB319,Limuka,0,10,-5.43785,150.09785,No,,,3,RB319_A,RB319_B,RB319_C,,,0,No,3,1882.15,1695.74,,No,1,,
RB320_Trip0,RB320,Limuka,0,12.3,-5.43788333,150.09785,No,,,2,RB320_A,RB320_B,,,,0,No,2,290.003,181.719,,No,1,,
RB321_Trip0,RB321,Limuka,0,7.7,-5.4381,150.0980167,No,,,3,RB321_A,RB321_B,RB321_C,,,0,No,3,997.371,1520.92,,No,0.5,,
RB322_Trip0,RB322,Limuka,0,6.1,-5.43815,150.0980333,No,,,2,RB322_A,RB322_B,,,,0,No,2,279.722,240.451,,No,1,,
RB323_Trip0,RB323,Limuka,0,3.5,-5.43811667,150.0978833,No,,,3,RB323_A,RB323_B,RB323_C,,,0,No,3,1795.35,1722.13,,No,1,,
