"qmap_id","basemap_id","description","h","target_dist","range","sill","SSErr","model","original_range"
134,6,"autocorr=1291, 1x25km patchy",0.45,"uniform",1290.81462884921,0.0741058702347834,0.000203898751304454,"Exp",2379.22323263721
135,2,"autocorr=3648, 1x25km full",0.45,"uniform",3647.86998171265,0.122003161167854,0.0039361020876599,"Exp",1727.40165039067
136,6,"autocorr=3191, 1x25km patchy",0.45,"uniform",3190.77007624857,0.106054565740379,0.000190388279326004,"Exp",1727.40165039067
137,2,"autocorr=21125, 1x25km full",1.85,"uniform",21125.4967775771,0.901456694174017,0.00103381885026289,"Gau",9307.73459133299
138,6,"autocorr=211150, 1x25km patchy",1.85,"uniform",211149.812732047,1.22758691685514,0.000271824853414128,"Sph",9307.73459133299
139,2,"autocorr=2431, 1x25km full",0.45,"uniform",2431.22775240484,0.0971492994497325,0.00371974345494025,"Exp",1715.20391913023
140,6,"autocorr=1749, 1x25km patchy",0.45,"uniform",1748.63945223531,0.0582572063311002,0.00055462055234981,"Exp",1715.20391913023
141,2,"autocorr=5466, 1x25km full",1.05,"uniform",5466.44204453657,0.176039900937963,0.00193727595878266,"Gau",4896.83753848724
142,6,"autocorr=3351, 1x25km patchy",1.05,"uniform",3351.29783377791,0.0895123988291888,0.000303092491712113,"Gau",4896.83753848724
143,2,"autocorr=16, 1x25km full",-0.95,"uniform",16.0910511669405,0.0775064870826821,0.0108726721291092,"Gau",14.3010697231091
144,6,"autocorr=10, 1x25km patchy",-0.95,"uniform",10.2139880957973,0.0775410852896882,0.000220637894143332,"Exp",14.3010697231091
145,2,"autocorr=15, 1x25km full",-0.95,"uniform",14.9712695591048,0.085520852616755,0.00640264686845522,"Gau",14.3240631095071
146,6,"autocorr=12, 1x25km patchy",-0.95,"uniform",11.5994569903793,0.0729393510482065,0.000536977008770659,"Exp",14.3240631095071
147,2,"autocorr=4956, 1x25km full",1.05,"uniform",4955.77050576084,0.18237884673696,0.00221452015173304,"Gau",5507.18288395327
148,6,"autocorr=3328, 1x25km patchy",1.05,"uniform",3327.73322993622,0.11947979973002,0.000242600473502801,"Gau",5507.18288395327
149,2,"autocorr=13353, 1x25km full",1.85,"uniform",13353.3583516449,0.431208038547061,0.00352004656098027,"Gau",7245.84965564693
150,6,"autocorr=52812, 1x25km patchy",1.85,"uniform",52812.1063445422,0.288599691908455,0.000225793310935092,"Sph",7245.84965564693
151,2,"autocorr=19722, 1x25km full",1.85,"uniform",19721.9467356247,0.786643195727123,0.000901355323750675,"Gau",9313.7012814522
152,6,"autocorr=204528, 1x25km patchy",1.85,"uniform",204528.197972099,1.14318555851492,0.000293862594767092,"Sph",9313.7012814522
153,2,"autocorr=2307, 1x25km full",0.45,"uniform",2307.19182717226,0.101347137808129,0.0065634169660619,"Exp",1375.51814945822
154,6,"autocorr=1598, 1x25km patchy",0.45,"uniform",1597.59340898187,0.0856052405727733,0.000210710595106957,"Exp",1375.51814945822
155,2,"autocorr=9400, 1x25km full",1.05,"uniform",9400.1855941389,0.257675565847214,0.00723463067981707,"Gau",4163.01243556557
156,6,"autocorr=315062, 1x25km patchy",1.05,"uniform",315062.03975356,1.74560551541897,8.89891606451744e-05,"Sph",4163.01243556557
157,2,"autocorr=4480, 1x25km full",1.05,"uniform",4479.70835774581,0.176534715783581,0.00692381556484073,"Gau",4493.67960775173
158,6,"autocorr=2548, 1x25km patchy",1.05,"uniform",2547.75232208733,0.12887240112268,0.000335818076696621,"Gau",4493.67960775173
159,2,"autocorr=15, 1x25km full",-0.95,"uniform",15.1381206360792,0.0844707924794763,0.00792844258186706,"Gau",14.3249312074976
160,6,"autocorr=12, 1x25km patchy",-0.95,"uniform",12.0049908486932,0.0707498520709515,0.000276460334925902,"Exp",14.3249312074976
