"sim_id","progress"
17749148,0.14
58478902,0.15
69895502,0.13
74311106,0.14
83433192,0.14
49619832,0.13
31628607,0.14
38065061,0.13
92103113,0.14
19980241,0.14
37255183,0.14
84040443,0.14
84006960,0.14
71429608,0.14
38086316,0.14
85309022,0.14
39047042,0.14
21897688,0.14
92880980,0.14
12883972,0.14
26248084,0.15
63703547,0.14
32996045,0.14
94027537,0.15
89525699,0.15
32738869,0.17
29150837,0.16
61808856,0.14
72348318,0.14
22960974,0.14
34154566,0.15
96717362,0.14
12463788,0.14
41861346,0.14
41964167,0.14
26057377,0.14
52701801,0.12
48030283,0.12
98169211,0.14
92644539,0.19
25448071,0.19
81222951,0.19
62022464,0.19
22429521,0.19
53064113,0.19
17480394,0.19
85264088,0.19
84893586,0.16
50610137,0.15
50858170,0.13
82134018,0.13
28189292,0.16
59211762,0.15
85865420,0.16
76519406,0.15
47574742,0.15
68327923,0.15
68059183,0.15
60281269,0.16
42178519,0.14
13070800,0.14
84458971,0.23
42968453,0.22
65905210,0.15
29587850,0.15
93269865,0.13
52544636,0.12
84085335,0.13
38746002,0.13
69004753,0.14
88728701,0.15
24686552,0.13
74496754,0.1
89365052,0.11
88567594,0.1
34317422,0.1
57954593,0.19
38249879,0.19
88641508,0.19
33814025,0.19
13108587,0.14
86668204,0.15
87099232,0.14
67927446,0.16
59162178,0.15
35562709,0.16
40710120,0.14
86941437,0.15
63671035,0.14
81897446,0.15
76723252,0.14
47851591,0.15
66775493,0.16
92672624,0.14
92076748,0.18
29731496,0.17
47885757,0.19
53945722,0.2
94149002,0.15
24620168,0.14
68424810,0.14
11974462,0.14
95553520,0.12
64651162,0.19
56726737,0.14
89045157,0.14
52897440,0.14
11797459,0.12
70651637,0.12
11939784,0.12
54358195,0.12
75949754,0.11
66157769,0.11
28800368,0.14
77237754,0.12
54672148,0.13
15658953,0.13
75117516,0.13
63570541,0.13
21820614,0.15
52054837,0.15
29995262,0.16
56987702,0.16
42539799,0.14
85062934,0.14
69659513,0.17
78826741,0.15
93261936,0.14
52436374,0.14
22527563,0.16
73922965,0.14
73823363,0.14
84990055,0.1
70331891,0.12
44155317,0.11
60807419,0.12
